name, street, city, state, zipcode, county, lat, long
Maria Weston Chapman Middle School,1051 Commercial Street,Weymouth,MA,02189,Norfolk County,42.221712,-70.932903
Mario Umana Academy,312 Border Street,East Boston,MA,02128,Suffolk County,42.3784,-71.040683
Marion E Zeh,33 Howard Street,Northborough,MA,01532,Worcester County,42.32427,-71.647753
Mark G Hoyle Elementary,70 Community Lane,Swansea,MA,02777,Bristol County,41.764965,-71.242191
Marlborough High,431 Bolton Street,Marlborough,MA,01752,Middlesex County,42.363279,-71.545074
Marsh Grammar School,309 Pelham Street,Methuen,MA,01844,Essex County,42.72891,-71.23272
Marshall Middle School,15 Floyd Street,Billerica,MA,01821,Middlesex County,42.57058,-71.271352
Marshall Simonds Middle,114 Winn Street,Burlington,MA,01803,Middlesex County,42.501449,-71.180931
Marshfield High,167 Forest Street,Marshfield,MA,02050,Plymouth County,42.108266,-70.741947
Martha Jones,80 Martha Jones Rd,Westwood,MA,02090,Norfolk County,42.200198,-71.235114
Martha's Vineyard Charter Public School,424 State Road,West Tisbury,MA,02575,Dukes County,41.419303,-70.664466
Martha's Vineyard Regional High,100 Edgartown-Vineyard Haven Road,Oak Bluffs,MA,02557,Dukes County,41.417936,-70.596081
Martin E Young Elementary,30 Lou Courtney Dr,Randolph,MA,02368,Norfolk County,42.152789,-71.042438
Martin Luther King Jr.,102 Putnam Avenue,Cambridge,MA,02139,Middlesex County,42.366659,-71.112881
Martin Luther King Jr. Charter School of Excellence,285 Dorset Street,Springfield,MA,01108,Hampden County,42.083906,-72.535953
Martinson Elementary,275 Forest Street,Marshfield,MA,02050,Plymouth County,42.110855,-70.740154
Mary A. Dryden Veterans Memorial School,190 Surrey Rd,Springfield,MA,01118,Hampden County,42.09923,-72.54369
Mary D Altavesta,9800 Main Street,Woburn,MA,01801,Middlesex County,42.513302,-71.163032
Mary E Finn School,60 Richards Road,Southborough,MA,01772,Worcester County,42.274574,-71.533929
Mary E Flaherty School,99 Lakeside Dr,Braintree,MA,02184,Norfolk County,42.221301,-71.017975
Mary E Stapleton Elementary,25 Elm Street,Framingham,MA,01701,Middlesex County,42.326636,-71.400271
Mary E. Baker School,45 Quincy Street,Brockton,MA,02302,Plymouth County,42.093536,-70.990135
Mary Fonseca Elementary School,160 Wall Street,Fall River,MA,02720,Bristol County,41.701314,-71.138294
Mary K. Goode Elementary School,31 Mayflower Avenue,Middleborough,MA,02346,Plymouth County,41.886517,-70.912058
Mary Lee Burbank,266 School Street,Belmont,MA,02478,Middlesex County,42.388539,-71.164264
Mary M Lynch,315 No Branch Pkwy,Springfield,MA,01119,Hampden County,42.129135,-72.510462
Mary M Walsh,50 Empress Ct,Springfield,MA,01129,Hampden County,42.11547,-72.49391
Mary O Pottenger,1435 Carew Street,Springfield,MA,01104,Hampden County,42.138417,-72.568023
Mary Rowlandson Elementary,103 Hollywood Drive,Lancaster,MA,01523,Worcester County,42.468248,-71.675918
Masconomet Regional High School,20 Endicott Rd,Boxford,MA,01921,Essex County,42.627798,-70.974842
Masconomet Regional Middle School,20 Endicott Road,Boxford MA,MA,01921,Essex County,42.627798,-70.974842
Mashpee Middle-High School,500 Old Barnstable Road,Mashpee,MA,02649,Barnstable County,41.614857,-70.506235
Mason Elementary School,150 Norfolk Avenue,Roxbury,MA,02119,Suffolk County,42.326074,-71.071302
Mason Road School,20 Mason Road,Dudley,MA,01571,Worcester County,42.0459,-71.9052
Mason-Rice,149 Pleasant Street,Newton Centre,MA,02459,Middlesex County,42.33261,-71.19939
MASSACHUSETTS MAYFLOWER ACADEMY,4 MILL AND MAIN PL STE 510,MAYNARD,MA,01754,Middlesex County,42.43065,-71.454398
MASTERY SCHOOL OF INDEPENDENT LEARNING,30 THIRD ST,FALL RIVER,MA,02720,Bristol County,41.701232,-71.153368
Match Charter Public School,1001 Commonwealth Avenue,Boston,MA,02215,Suffolk County,42.352098,-71.121004
MATER DOLOROSA CATHOLIC SCHOOL,25 MAPLE ST,HOLYOKE,MA,01040,Hampden County,42.211246,-72.605031
Mather Elementary School,24 Parish Street,Dorchester,MA,02122,Suffolk County,42.308394,-71.061018
Mattahunt Elementary School,123 Alabama St,Mattapan,MA,02126,Suffolk County,42.2761165,-71.1032855
Matthew J Kuss Middle,52 Globe Mills Avenue,Fall River,MA,02724,Bristol County,41.69268,-71.18035
Maurice A Donahue Elementary,210 Whiting Farms Road,Holyoke,MA,01040,Hampden County,42.17681,-72.63929
May Street,265 May Street,Worcester,MA,01602,Worcester County,42.26645,-71.840511
Maynard High,1 Tiger Drive,Maynard,MA,01754,Middlesex County,42.42111,-71.452634
MCAULEY NAZARETH HOME FOR BOYS,77 MULBERRY ST,LEICESTER,MA,01524,Worcester County,42.258377,-71.889035
McCall Middle,458 Main Street,Winchester,MA,01890,Middlesex County,42.44994,-71.13485
McCarthy Middle School,250 North Rd,Chelmsford,MA,01824,Middlesex County,42.618971,-71.36713
