name, street, city, state, zipcode, county, lat, long
1 LT Charles W. Whitcomb School,25 Union Street,Marlborough,MA,01752,Middlesex County,42.357383,-71.548459
A Drewicz Elementary,34 Hood Street,Lynn,MA,01905,Essex County,42.460538,-70.969308
A E Angier,1697 Beacon Street,Waban,MA,02468,Middlesex County,42.326592,-71.232568
A F Maloney,200 Lincoln Street,Blackstone,MA,01504,Worcester County,42.028912,-71.545504
A. C. Whelan Elementary School,107 Newhall Street,Revere,MA,02151,Suffolk County,42.41991,-71.020683
A. Irvin Studley Elementary School,299 Rathbun Willard Drive,Attleboro,MA,02703,Bristol County,41.936746,-71.305702
Abbot Elementary,25 Depot Street,Westford,MA,01886,Middlesex County,42.588439,-71.432399
Abbott Memorial,56 North County Rd,Florida,MA,01247,Berkshire County,42.693107,-73.03766
Abby Kelley Foster Charter Public School,10 New Bond Street,Worcester,MA,01606,Worcester County,42.305635,-71.801599
Abington Early Education Program,201 Gliniewicz Way,Abington,MA,02351,Plymouth County,42.119333,-70.95364
Abington High,201 Gliniewicz Way,Abington,MA,02351,Plymouth County,42.119058,-70.954519
Abington Middle School,201 Gliniewicz Way,Abington,MA,02351,Plymouth County,42.119058,-70.954519
Abner Gibbs,50 West Silver Street,Westfield,MA,01085,Hampden County,42.11464,-72.75374
Aborn,409 Eastern Avenue,Lynn,MA,01902,Essex County,42.479234,-70.933085
Abraham Lincoln,300 Chelmsford Street,Lowell,MA,01851,Middlesex County,42.630319,-71.320249
Abraham Lincoln,445 Ashley Blvd,New Bedford,MA,02745,Bristol County,41.669337,-70.932885
Abraham Lincoln,68 Tuckerman Street,Revere,MA,02151,Suffolk County,42.416897,-71.00958
ABUNDANT LIFE CHRISTIAN SCHOOL,173 CHURCH ST,WILMINGTON,MA,18872,Middlesex County,42.556921,-71.164625
Academy Avenue,94 Academy Avenue,Weymouth,MA,02189,Norfolk County,42.219775,-70.941901
ACADEMY HILL SCHOOL,1190 LIBERTY ST,SPRINGFIELD,MA,01104,Hampden County,42.135243,-72.586194
ACADEMY OF EARLY LEARNING,465 FALMOUTH RD,HYANNIS,MA,02601,Barnstable County,41.661969,-70.305036
ACADEMY OF NOTRE DAME,180 MIDDLESEX RD,TYNGSBORO,MA,01879,Middlesex County,42.670549,-71.426617
Academy Of the Pacific Rim Charter Public School,1 Westinghouse Plaza,Hyde Park,MA,02136,Suffolk County,42.244384,-71.132363
ACERA SCHOOL,5 LOWELL AVE,WINCHESTER,MA,01890,Middlesex County,42.46612,-71.133211
Acton-Boxborough Regional High,36 Charter Rd,Acton,MA,01720,Middlesex County,42.4801,-71.45815
Acushnet Elementary School,800 Middle Road,Acushnet,MA,02743,Bristol County,41.725455,-70.905989
Adams Elementary School,165 Webster Street,East Boston,MA,02128,Suffolk County,42.365512,-71.034894
ADAMS MONTESSORI SCHOOL,310 ADAMS ST,QUINCY,MA,02169,Norfolk County,42.252599,-71.016241
Adams School,78 Tileston Street,Everett,MA,02149,Middlesex County,42.403786,-71.063694
Advanced Community Experience Program,1025 Massachusetts Avenue,Lunenburg,MA,01462,Worcester County,42.597237,-71.721805
Advanced Math and Science Academy Charter School,201 Forest Street,Marlborough,MA,01752,Middlesex County,42.333658,-71.577779
Agawam Early Childhood Center,108 Perry Lane,Agawam,MA,01001,Hampden County,42.067224,-72.626447
Agawam High,760 Cooper Street,Agawam,MA,01001,Hampden County,42.074264,-72.644584
Agawam Junior High,1305 Springfield Street,Feeding Hills,MA,01030,Hampden County,42.063976,-72.673853
AHAVATH TORAH CONGREGATION,1179 CENTRAL ST,STOUGHTON,MA,02072,Norfolk County,42.13477,-71.108161
AL NOOR ACADEMY - SHARON,84 86 CHASE DR,SHARON,MA,02067,Norfolk County,42.096564,-71.194867
AL-HAMRA ACADEMY,435 S ST,SHREWSBURY,MA,01545,Worcester County,42.271133,-71.682617
AL-NOOR ACADEMY,84 CHASE DR,SHARON,MA,02067,Norfolk County,42.096564,-71.194867
Albert D Holland School of Technology,60 Washington Street,Dorchester,MA,02121,Suffolk County,42.306942,-71.081648
Albert F Ford Middle School,708 Middle Road,Acushnet,MA,02743,Bristol County,41.723346,-70.905145
Albert F. Argenziano School at Lincoln Park,290 Washington Street,Somerville,MA,02143,Middlesex County,42.379231,-71.098828
Albert S. Woodward Memorial School,28 Cordaville Road,Southborough,MA,01772,Worcester County,42.304,-71.52671
Alcott,93 Laurel Street,Concord,MA,01742,Middlesex County,42.453398,-71.346358
Alden School,75 Alden Street,Duxbury,MA,02332,Plymouth County,42.045889,-70.681687
Alexander B Bruce,135 Butler Street,Lawrence,MA,01841,Essex County,42.703054,-71.180942
Alfred G. Zanetti Montessori Magnet School,474 Armory St,Springfield,MA,01104,Hampden County,42.121139,-72.588307
Alfred J Gomes,286 S Second Street,New Bedford,MA,02740,Bristol County,41.626103,-70.9222
Alfred M Chaffee,9 Clover Street,Oxford,MA,01540,Worcester County,42.107759,-71.869773
Algonquin Regional High,79 Bartlett Street,Northborough,MA,01532,Worcester County,42.325949,-71.61312
ALHUDA ACADEMY,248 E MOUNTAIN ST,WORCHESTER,MA,01606,Worcester County,42.315475,-71.773878
Alice A Macomber,154 Gifford Road,Westport,MA,02790,Bristol County,41.65273,-71.082498
Alice B Beal Elementary,285 Tiffany Street,Springfield,MA,01108,Hampden County,42.07372,-72.54456
Alice M Barrows,16 Edgemont Avenue,Reading,MA,01867,Middlesex County,42.52167,-71.12402
Alighieri Dante Montessori School,37 Gove Street,East Boston,MA,02128,Suffolk County,42.371486,-71.037907
ALL SAINTS ACADEMY,48 NEGUS ST,WEBSTER,MA,01570,Worcester County,42.049082,-71.878189
ALL SAINTS CATHOLIC SCHOOL,115 ILLINOIS ST,NEW BEDFORD,MA,02745,Bristol County,41.683297,-70.931706
Allendale,180 Connecticut Avenue,Pittsfield,MA,01201,Berkshire County,42.459027,-73.220859
Alma del Mar Charter School,515 Belleville Ave,New Bedford,MA,02746,Bristol County,41.665531,-70.923108
Ambrose Elementary,27 High Street,Winchester,MA,01890,Middlesex County,42.445654,-71.15632
AMEGO,122 GROVE ST,FRANKLIN,MA,02038,Norfolk County,42.076215,-71.419109
Amelio Della Chiesa Early Childhood Center,100 Brooks Avenue,Quincy,MA,02169,Norfolk County,42.237718,-71.013129
Amesbury High,5 Highland Street,Amesbury,MA,01913,Essex County,42.850888,-70.942553
Amesbury Innovation High School,71 Friend Street,Amesbury,MA,01913,Essex County,42.856314,-70.934884
Amesbury Middle,220 Main Street,Amesbury,MA,01913,Essex County,42.848845,-70.929489
AMHERST MONTESSORI SCHOOL,27 POMEROY LN,AMHERST,MA,01002,Hampshire County,42.33899,-72.518301
Amherst Regional High,21 Mattoon Street,Amherst,MA,01002,Hampshire County,42.380755,-72.512846
Amherst Regional Middle School,170 Chestnut Street,Amherst,MA,01002,Hampshire County,42.384218,-72.510419
Amigos School,15 Upton Street,Cambridge,MA,02139,Middlesex County,42.362992,-71.108252
Amvet Boulevard,70 Amvet Boulevard,North Attleborough,MA,02760,Bristol County,41.976691,-71.343038
Andover High,80 Shawsheen Road,Andover,MA,01810,Essex County,42.657463,-71.155895
ANDOVER SCHOOL OF MONTESSORI,400 S MAIN ST,ANDOVER,MA,01810,Essex County,42.6219,-71.124411
Andover West Middle,70 Shawsheen Road,Andover,MA,01810,Essex County,42.658797,-71.151954
Andrew B. Cushman School,746 Dartmouth Street,Dartmouth,MA,02748,Bristol County,41.598069,-70.941268
Anna Ware Jackson,68 Messenger Street,Plainville,MA,02762,Norfolk County,42.012556,-71.302337
Anne Bradstreet Early Childhood Center,115 Phillips Brooks Road,North Andover,MA,01845,Essex County,42.690074,-71.121807
Anne T. Dunphy School,1 Petticoat Hill,Williamsburg,MA,01096,Hampshire County,42.391313,-72.730928
Annie E Fales,50 Eli Whitney Street,Westborough,MA,01581,Worcester County,42.250512,-71.62177
Annie L Sargent School,300 Abbott Street,North Andover,MA,01845,Essex County,42.670733,-71.098537
Annie Sullivan Middle School,500 Lincoln Street,Franklin,MA,02038,Norfolk County,42.109168,-71.397322
Another Course To College,612 Metropolitan Av,Hyde Park,MA,02136,Suffolk County,42.265168,-71.117736
ANTIOCH SCHOOL,618 ROCK ST,FALL RIVER,MA,02720,Bristol County,41.710051,-71.151241
APPLE ORCHARD SCHOOL,282D NEWTON ST,BROOKLINE,MA,02445,Norfolk County,42.30534,-71.140626
APPLEWILD SCHOOL,120 PROSPECT ST,FITCHBURG,MA,01420,Worcester County,42.592661,-71.808507
Apponequet Regional High,100 Howland Rd,Lakeville,MA,02347,Plymouth County,41.792255,-70.983216
ARCHBISHOP WILLIAMS HIGH SCHOOL,80 INDEPENDENCE AVE,BRAINTREE,MA,02184,Norfolk County,42.228258,-71.004348
Archie T Morrison,260 Liberty Street,Braintree,MA,02184,Norfolk County,42.21047,-70.97911
Argosy Collegiate Charter School,263 Hamlet Street,Fall River,MA,02724,Bristol County,41.688684,-71.161589
ARLINGTON CATHOLIC HIGH SCHOOL/SAINT AGNES SCHOOL,16 MEDFORD ST,ARLINGTON,MA,02474,Middlesex County,42.41558,-71.150761
Arlington Elementary,150 Arlington Street,Lawrence,MA,01841,Essex County,42.717436,-71.174418
Arlington High,869 Mass Avenue,Arlington,MA,02476,Middlesex County,42.417977,-71.16177
Arlington Middle School,150 Arlington Street,Lawrence,MA,01841,Essex County,42.717436,-71.174418
ARLINGTON SCHOOL,115 MILL ST,BELMONT,MA,02478,Middlesex County,42.396109,-71.192691
Arthur D Healey,5 Meacham Street,Somerville,MA,02145,Middlesex County,42.39752,-71.0953
Arthur M Longsjo Middle School,98 Academy Street,Fitchburg,MA,01420,Worcester County,42.586426,-71.80038
Arthur T Talmadge,1395 Allen Street,Springfield,MA,01118,Hampden County,42.095736,-72.514226
Arthur T. Cummings Elementary School,40 Hermon Street,Winthrop,MA,02152,Suffolk County,42.37739,-70.98549
Arthur W Coolidge Middle,89 Birch Meadow Dr,Reading,MA,01867,Middlesex County,42.538365,-71.110204
Ashby Elementary,911 Main Street,Ashby,MA,01431,Middlesex County,42.679033,-71.823181
Ashfield Middle School,225 Coe Road,Brockton,MA,02302,Plymouth County,42.103305,-70.995824
Ashland High,65 East Union St.,Ashland,MA,01721,Middlesex County,42.262805,-71.446098
Ashland Middle,87 West Union Street,Ashland,MA,01721,Middlesex County,42.25135,-71.47454
Assabet Valley Vocational High School,215 Fitchburg Street,Marlborough,MA,01752,Middlesex County,42.368204,-71.566451
Assawompset Elementary School,232 Main Street,Lakeville,MA,02347,Plymouth County,41.847774,-70.947388
Atherton Hough,1084 Sea Street,Quincy,MA,02169,Norfolk County,42.26672,-70.95752
Athol Community Elementary School,1064 Pleasant Street,Athol,MA,01331,Worcester County,42.575719,-72.211515
Athol High,2363 Main Street,Athol,MA,01331,Worcester County,42.582887,-72.204236
Athol-Royalston Middle School,1062 Pleasant Street,Athol,MA,01331,Worcester County,42.573104,-72.211104
Atkinson,111 Phillips Brooks Rd,North Andover,MA,01845,Essex County,42.689561,-71.123283
Atlantic Middle,86 Hollis Avenue,Quincy,MA,02171,Norfolk County,42.277857,-71.024319
Atlantis Charter School,991 Jefferson St,Fall River,MA,02721,Bristol County,41.670113,-71.1437
ATRIUM SCHOOL,69 GROVE ST,WATERTOWN,MA,02472,Middlesex County,42.3696,-71.153071
Attleboro Community Academy,1 Blue Pride Way,Attleboro,MA,02703,Bristol County,41.939214,-71.303799
Attleboro High,1 Blue Pride Way,Attleboro,MA,02703,Bristol County,41.939214,-71.303799
Attleboro Virtual Academy,1 Blue Pride Way,Attleboro,MA,02703,Bristol County,41.939214,-71.303799
Auburn Middle,9 West Street,Auburn,MA,01501,Worcester County,42.183779,-71.869576
Auburn Senior High,99 Auburn Street,Auburn,MA,01501,Worcester County,42.207079,-71.837407
AUSTIN PREPARATORY SCHOOL,101 WILLOW ST,READING,MA,01867,Middlesex County,42.5299,-71.125441
Avery,336 High Street,Dedham,MA,02026,Norfolk County,42.246886,-71.160399
Avon Middle High School,287 West Main Street,Avon,MA,02322,Norfolk County,42.129677,-71.043032
Ayer Shirley Regional High School,141 Washington Street,Ayer,MA,01432,Middlesex County,42.567041,-71.57599
Ayer Shirley Regional Middle School,1 Hospital Road,Shirley,MA,01464,Middlesex County,42.546083,-71.639291
Ayers/Ryal Side School,40 Woodland Avenue,Beverly,MA,01915,Essex County,42.551786,-70.889841
B C CAMPUS SCHOOL,140 COMMONWEALTH AVE CAMPION HALL # 197,CHESTNUT HILL,MA,02467,Middlesex County,42.333864,-71.168559
B M C Durfee High,360 Elsbree Street,Fall River,MA,02720,Bristol County,41.714778,-71.132073
B.F. Butler Middle School,1140 Gorham Street,Lowell,MA,01852,Middlesex County,42.625207,-71.30482
BAIS YAAKOV OF BOSTON HIGH SCHOOL,198 STRATHMORE RD,BRIGHTON,MA,02135,Suffolk County,42.34012,-71.154741
Balch,1170 Washington Street,Norwood,MA,02062,Norfolk County,42.177008,-71.205732
Baldwin Early Learning Pilot Academy,121 Corey Road,Brighton,MA,02135,Suffolk County,42.342017,-71.140534
Balliet Preschool,111 Seymour Street,Springfield,MA,01109,Hampden County,42.125312,-72.52882
Bancroft Elementary,15 Bancroft Street,Andover,MA,01810,Essex County,42.637951,-71.126278
BANCROFT SCHOOL,110 SHORE DR,WORCESTER,MA,01605,Worcester County,42.304488,-71.814512
Barbieri Elementary,100 Dudley Rd,Framingham,MA,01701,Middlesex County,42.27962,-71.432321
BARD ACADEMY AT SIMONS ROCK,84 ALFORD RD,GREAT BARRINGTON,MA,01230,Berkshire County,42.208468,-73.380956
Barnstable Community Innovation School,165 Bearses Way,Hyannis,MA,02601,Barnstable County,41.655607,-70.293147
Barnstable High,744 West Main Street,Hyannis,MA,02601,Barnstable County,41.654603,-70.320358
Barnstable Intermediate School,895 Falmouth Road,Hyannis,MA,02601,Barnstable County,41.659085,-70.320747
Barnstable United Elementary School,730 Osterville West Barnstable Road,Marston Mills,MA,02648,Barnstable County,41.660338,-70.38738
Barrett Russell Early Childhood Center,45 Oakdale Street,Brockton,MA,02301,Plymouth County,42.089549,-71.027188
Barry,44 Connell Street,Chicopee,MA,01020,Hampden County,42.166297,-72.587844
Bartlett Community Partnership,79 Wannalancit Street,Lowell,MA,01854,Middlesex County,42.64553,-71.32884
Bartlett High School,52 Lake Parkway,Webster,MA,01570,Worcester County,42.042365,-71.870323
Bartlett School and Assessment Center,551 Washington Street,Haverhill,MA,01830,Essex County,42.767231,-71.101066
Bates,53 Liberty Hill Avenue,Salem,MA,01970,Essex County,42.53448,-70.905809
Bates Elementary School,426 Beech Street,Roslindale,MA,02131,Suffolk County,42.277667,-71.135391
BAY COVE ACADEMY,156 LAWTON ST,BROOKLINE,MA,02446,Norfolk County,42.3499,-71.126741
BAY FARM MONTESSORI ACADEMY,145 LORING ST,DUXBURY,MA,02332,Plymouth County,42.008723,-70.717867
Bay Path Regional Vocational Technical High School,57 Old Muggett Hill Road,Charlton,MA,01507,Worcester County,42.13379,-71.95724
BAYBERRY CHRISTIAN SCHOOL,2736 FALMOUTH RD,OSTERVILLE,MA,02655,Barnstable County,41.65346,-70.385121
Baystate Academy Charter Public School,2001 Roosevelt Avenue,Springfield,MA,01104,Hampden County,42.134936,-72.545393
Beachmont Veterans Memorial School,15 Everard Street,Revere,MA,02151,Suffolk County,42.39502,-70.99232
BEACON ACADEMY INC,814 S ST,BOSTON,MA,02131,Suffolk County,42.287889,-71.131265
BEACON SCHOLASTIC ACADEMY,315 UNIVERSITY AVE,WESTWOOD,MA,02090,Norfolk County,42.200874,-71.155431
Beatrice H Wood Elementary,72 Messenger Street,Plainville,MA,02762,Norfolk County,42.01353,-71.30093
Beaver Brook Elementary,1 Ralph Hamlin Lane,Abington,MA,02351,Plymouth County,42.118811,-70.943288
BEAVER COUNTRY DAY SCHOOL,791 HAMMOND ST,CHESTNUT HILL,MA,02467,Norfolk County,42.31813,-71.165351
Becket Washington School,12 Maple Street,Becket,MA,01223,Berkshire County,42.3316,-73.08285
Bedford High,9 Mudge Way,Bedford,MA,01730,Middlesex County,42.491402,-71.285535
BEDFORD MONTESSORI SCHOOL,8 ALFRED CIR,BEDFORD,MA,01730,Middlesex County,42.485537,-71.265884
Beebe,401 Pleasant Street,Malden,MA,02148,Middlesex County,42.427171,-71.079493
Beechwood Knoll Elementary,225 Fenno Street,Quincy,MA,02170,Norfolk County,42.269303,-71.005187
Beeman Memorial,138 Cherry Street,Gloucester,MA,01930,Essex County,42.63721,-70.67235
Beethoven Elementary School,5125 Washington Street,West Roxbury,MA,02132,Suffolk County,42.26365,-71.155682
Belcher,125 Montgomery St.,Chicopee,MA,01020,Hampden County,42.163176,-72.583605
Belchertown High,142 Springfield Road,Belchertown,MA,01007,Hampshire County,42.266441,-72.409973
Bellamy Middle,314 Pendleton Avenue,Chicopee,MA,01020,Hampden County,42.190511,-72.587419
BELLESINI ACADEMY,94 BRADFORD ST,LAWRENCE,MA,01840,Essex County,42.70797,-71.16975
Bellingham Early Childhood Center,342 Hartford Avenue,Bellingham,MA,02019,Norfolk County,42.122948,-71.457747
Bellingham High School,60 Blackstone Street,Bellingham,MA,02019,Norfolk County,42.07498,-71.4691
Bellingham Memorial School,130 Blackstone Street,Bellingham,MA,02019,Norfolk County,42.074616,-71.47514
BELMONT DAY SCHOOL,55 DAY SCHOOL LN,BELMONT,MA,24782,Middlesex County,42.396504,-71.185781
Belmont High,221 Concord Avenue,Belmont,MA,02478,Middlesex County,42.394886,-71.166853
Belmont Middle School,225 Concord Ave,Belmont,MA,02478,Middlesex County,42.395025,-71.165737
Belmont Street Community,170 Belmont Street,Worcester,MA,01605,Worcester County,42.271876,-71.787881
Belmonte STEAM Academy,25 Dow Street,Saugus,MA,01906,Essex County,42.458547,-71.014575
Benjamin Banneker Charter Public School,21 Notre Dame Avenue,Cambridge,MA,02142,Middlesex County,42.392191,-71.131706
Benjamin Franklin Classical Charter Public School,500 Financial Park,Franklin,MA,02038,Norfolk County,42.05868,-71.421026
Benjamin Friedman Middle,500 Norton Avenue,Taunton,MA,02780,Bristol County,41.920924,-71.136508
Benjamin G Brown,201 Willow Avenue,Somerville,MA,02144,Middlesex County,42.39739,-71.11407
Benjamin J Phelps,689 Main Street,Agawam,MA,01001,Hampden County,42.070319,-72.61346
Benjamin Swan Elementary,680 Union Street,Springfield,MA,01109,Hampden County,42.109253,-72.564862
Bennett,145 Pleasant Street,Leominster,MA,01453,Worcester County,42.521796,-71.764587
Bennett-Hemenway,22 East Evergreen Rd,Natick,MA,01760,Middlesex County,42.307966,-71.358366
Bentley Academy Innovation School,25 Memorial Drive,Salem,MA,01970,Essex County,42.528433,-70.880613
BEREA SDA ACADEMY,800 MORTON ST,MATTAPAN,MA,02126,Suffolk County,42.282599,-71.087769
Berkley Community School,59 South Main Street,Berkley,MA,02779,Bristol County,41.832792,-71.088822
Berkley Middle School,21 North Main Street,Berkley,MA,02779,Bristol County,41.848295,-71.086556
Berkshire Arts and Technology Charter Public School,1 Commercial Place,Adams,MA,01220,Berkshire County,42.619554,-73.12117
BERKSHIRE COUNTRY DAY SCHOOL,"55 INTERLAKEN ROAD, ROUTE 183",STOCKBRIDGE,MA,01262,Berkshire County,42.345679,-73.327021
BERKSHIRE MEADOWS,249 N PLAIN RD,HOUSATONIC,MA,01236,Berkshire County,42.230165,-73.369022
BERKSHIRE SCHOOL,245 N UNDERMOUNTAIN RD,SHEFFIELD,MA,01257,Berkshire County,42.11492,-73.414543
BERKSHIRE WALDORF HIGH SCHOOL,14 PINE ST,STOCKBRIDGE,MA,01262,Berkshire County,42.284651,-73.310367
BERKSHIRE WALDORF SCHOOL,35 W PLAIN RD,GREAT BARRINGTON,MA,01230,Berkshire County,42.188961,-73.408219
Berlin Memorial School,34 South Street,Berlin,MA,01503,Worcester County,42.3776,-71.63717
Bernardston Elementary,37 School Road,Bernardston,MA,01337,Franklin County,42.665754,-72.560909
Bessie Buker Elementary,1 School Street,Wenham,MA,01984,Essex County,42.608774,-70.885263
BETHANY CHRISTIAN ACADEMY,15 CAPE RD,MENDON,MA,01756,Worcester County,42.100204,-71.504642
Betsey B Winslow,561 Allen Street,New Bedford,MA,02740,Bristol County,41.6254,-70.944522
Beverly High,100 Sohier Rd,Beverly,MA,01915,Essex County,42.564783,-70.8812
Beverly Middle School,502 Cabot Street,Beverly,MA,01915,Essex County,42.56491,-70.887741
BEVERLY SCHOOL FOR THE DEAF,6 ECHO AVE,BEVERLY,MA,01915,Essex County,42.556458,-70.892944
Bigelow Middle,42 Vernon St,Newton,MA,02458,Middlesex County,42.353661,-71.181256
Billerica Memorial High School,35 River Street,Billerica,MA,01821,Middlesex County,42.560325,-71.274523
Birch Meadow,27 A B Lord Dr,Reading,MA,01867,Middlesex County,42.537965,-71.113301
BIRCHES SCHOOL,100 BEDFORD RD,LINCOLN,MA,01773,Middlesex County,42.439337,-71.300216
Birchland Park,50 Hanward Hill,East Longmeadow,MA,01028,Hampden County,42.071291,-72.507974
Bird Middle,625 Washington Street,East Walpole,MA,02032,Norfolk County,42.148491,-71.232057
BISHOP FEEHAN,70 HOLCOTT DR UNIT 1,ATTLEBORO,MA,02703,Bristol County,41.96436,-71.294963
BISHOP FENWICK HIGH SCHOOL,99 MARGIN ST,PEABODY,MA,01960,Essex County,42.53982,-70.917564
BISHOP STANG HIGH SCHOOL,500 SLOCUM RD 1,NORTH DARTMOUTH,MA,02747,Bristol County,41.63637,-70.967791
Blackstone Elementary School,380 Shawmut Avenue,Boston,MA,02118,Suffolk County,42.340724,-71.071883
Blackstone Millville RHS,175 Lincoln Street,Blackstone,MA,01504,Worcester County,42.029986,-71.538207
Blackstone Valley,65 Pleasant Street,Upton,MA,01568,Worcester County,42.163203,-71.616213
Blanchard Memorial School,493 Massachusetts Avenue,Boxborough,MA,01719,Middlesex County,42.481987,-71.505693
Blanchard Middle,14 West Street,Westford,MA,01886,Middlesex County,42.592909,-71.480889
Blanche A. Ames Elementary School,50 Spooner Street,North Easton,MA,02356,Bristol County,42.058199,-71.108149
BLESSED SACRAMENT ELEMENTARY SCHOOL,21 WESTFIELD RD,HOLYOKE,MA,01040,Hampden County,42.195433,-72.631907
BLESSED SACRAMENT SCHOOL,808 E ST,EAST WALPOLE,MA,20813,Norfolk County,42.146941,-71.24522
BLESSED STEPHEN BELLESINI O.S.A. ACADEMY,94 BRADFORD ST,LAWRENCE,MA,01840,Essex County,42.70797,-71.16975
Blue Hills Regional Vocational Technical,800 Randolph Street,Canton,MA,02021,Norfolk County,42.182367,-71.104451
Blueberry Hill,275 Blueberry Hill Rd,Longmeadow,MA,01106,Hampden County,42.059263,-72.55939
Boston Adult Tech Academy,20 Church St,Back Bay,MA,02116,Suffolk County,42.348671,-71.068159
Boston Arts Academy,174 Ipswich Street,Boston,MA,02215,Suffolk County,42.346236,-71.095004
Boston Collaborative High School,215 Dorchester St,South Boston,MA,02127,Suffolk County,42.333615,-71.050763
BOSTON COLLEGE HIGH SCHOOL,150 WILLIAM T MORRISSEY BLVD,DORCHESTER,MA,02125,Suffolk County,42.316156,-71.046294
Boston Collegiate Charter School,11 Mayhew Street,Dorchester,MA,02125,Suffolk County,42.321724,-71.060802
Boston Day and Evening Academy Charter School,20 Kearsarge Ave,Roxbury,MA,02119,Suffolk County,42.326972,-71.081831
Boston Green Academy Horace Mann Charter School,20 Warren St.,Brighton,MA,02135,Suffolk County,42.350353,-71.145895
BOSTON HIGASHI SCHOOL,800 N MAIN ST,RANDOLPH,MA,02368,Norfolk County,42.180689,-71.053775
Boston International High School & Newcomers Academy,100 Maxwell St,Dorchester,MA,02124,Suffolk County,42.281267,-71.080897
Boston Latin Academy,205 Townsend Street,Dorchester,MA,02121,Suffolk County,42.316113,-71.084459
Boston Latin School,78 Ave Louis Pasteur,Boston,MA,02115,Suffolk County,42.337819,-71.101493
Boston Preparatory Charter Public School,885 River Street,Hyde Park,MA,02136,Suffolk County,42.262177,-71.110433
Boston Renaissance Charter Public School,1415 Hyde Park Ave,Hyde Park,MA,02136,Suffolk County,42.250753,-71.126542
Boston Teachers Union K-8 Pilot,25 Walk Hill Street,Jamaica Plain,MA,02130,Suffolk County,42.294637,-71.115939
BOSTON TRINITY ACADEMY,17 HALE ST,BOSTON,MA,02136,Suffolk County,42.259069,-71.128769
BOSTON UNIVERSITY ACADEMY,1 UNIVERSITY RD,BOSTON,MA,02215,Suffolk County,42.351084,-71.10979
Bourne High School,75 Waterhouse Rd,Bourne,MA,02532,Barnstable County,41.738896,-70.59254
Bourne Intermediate School,70 Trowbridge Road,Bourne,MA,02532,Barnstable County,41.740152,-70.592193
Bourne Middle School,77 Waterhouse Road,Bourne,MA,02532,Barnstable County,41.73803,-70.589856
Bournedale Elementary School,41 Ernest Valerie Road,Bournedale,MA,02532,Barnstable County,41.759922,-70.580459
Boutwell,17 Boutwell Avenue,Wilmington,MA,01887,Middlesex County,42.546716,-71.188514
Boutwell School,78 Hollis Street,Groton,MA,01450,Middlesex County,42.61322,-71.57272
Bowe,115 Hampden Street,Chicopee,MA,01013,Hampden County,42.140905,-72.608863
Bowen,280 Cypress Street,Newton Centre,MA,02459,Middlesex County,42.321554,-71.187769
Bowie,80 D.A.R.E. Way,Chicopee,MA,01022,Hampden County,42.197847,-72.558863
Bowman,9 Philip Rd,Lexington,MA,02421,Middlesex County,42.423533,-71.218444
Boyden,1852 Washington Street,Walpole,MA,02081,Norfolk County,42.105879,-71.258948
Boylston Elementary School,200 Sewall Street,Boylston,MA,01505,Worcester County,42.331269,-71.739727
Brackett,66 Eastern Avenue,Arlington,MA,02476,Middlesex County,42.412456,-71.176409
BRADFORD CHRISTIAN ACADEMY,97 OXFORD AVE,BRADFORD,MA,01835,Essex County,42.748053,-71.107844
Bradford Elementary,118 Montvale Street,Bradford,MA,01835,Essex County,42.757213,-71.069776
Bradley Elementary School,110 Beachview Road,East Boston,MA,02128,Suffolk County,42.391609,-71.005114
Braintree High,128 Town Street,Braintree,MA,02184,Norfolk County,42.204115,-71.019776
BRANDON SCHOOL & RESIDENTAL TREATMENT,27 WINTER ST,NATICK,MA,01760,Middlesex County,42.317549,-71.335864
Brayton,20 Brayton Hill Terrace,North Adams,MA,01247,Berkshire County,42.696651,-73.136779
Breed Middle School,90 OCallaghan Way,Lynn,MA,01905,Essex County,42.470626,-70.984552
Brickett Elementary,123 Lewis Street,Lynn,MA,01902,Essex County,42.466143,-70.930978
Bridge,55 Middleby Rd,Lexington,MA,02421,Middlesex County,42.438077,-71.244218
Bridge Boston Charter School,435 Warren St.,Roxbury,MA,02119,Suffolk County,42.316841,-71.083254
Bridge Street,2 Parsons Street,Northampton,MA,01060,Hampshire County,42.323524,-72.626329
BRIDGEVIEW MONTESSORI SCHOOL,885 SANDWICH RD,SAGAMORE,MA,02561,Barnstable County,41.773546,-70.538735
Bridgewater Middle School,166 Mt. Prospect St.,Bridgewater,MA,02324,Plymouth County,41.98934,-70.984257
Bridgewater-Raynham Regional,415 Center Street,Bridgewater,MA,02324,Plymouth County,41.991114,-70.993141
Briggs Elementary,96 Williams Rd,Ashburnham,MA,01430,Worcester County,42.614354,-71.928199
Brighton High School,25 Warren Street,Brighton,MA,02135,Suffolk County,42.349019,-71.14557
Brightwood,255 Plainfield Street,Springfield,MA,01107,Hampden County,42.115194,-72.611179
Brimfield Elementary,22 Wales Rd,Brimfield,MA,01010,Hampden County,42.119229,-72.201978
BRIMMER & MAY SCHOOL,69 MIDDLESEX RD,CHESTNUT HILL,MA,02467,Middlesex County,42.3266,-71.162011
Bristol County Agricultural High,135 Center Street,Dighton,MA,02715,Bristol County,41.835244,-71.114821
Bristol-Plymouth Vocational Technical,207 Hart Street,Taunton,MA,02780,Bristol County,41.880765,-71.056524
